collection||شعب الإيمان
hadith|9012|وبإسناده قال أنا معمر عن أبي إسحاق عن أبي عبيدة عن بن مسعود قال ثلاث أحلاف عليهن والرابع أحسب عبد الرزاق قال لو حلفت عليها لبررت لا يجعل الله من له سهم في الإسلام كمن لا سهم له ولا تولى الله عبدا في الدنيا فولاه غيره في يوم القيامة ولا يحب رجل قوما إلا جاء معهم والرابعة لو حلفت عليها لبررت لا يستر الله على عبد في الدنيا إلا ستر عليه في الآخرة
hadith|9013|وهذا الذي قال بن مسعود قد روي عن علي رضي الله عنه من قوله وروي من وجه آخر عن النبي صلى الله عليه وسلم
hadith|9014|أخبرناه أبو عبد الله الحافظ قال نا أبو بكر أحمد بن سلمان الفقيه قال نا أحمد بن محمد بن عيسى قال نا موسى بن إسماعيل وأخبرنا أبو عبد الله الحافظ قال نا أبو بكر بن إسحاق الفقيه قال أنا محمد بن حيان الأنصاري قال نا أبو الوليد وموسى بن إسماعيل قالا نا همام بن يحيى عن إسحاق بن عبد الله بن أبي طلحة قال حدثني شيبة الحضرمي أنه شهد عروة بن الزبير يحدث عمر بن عبد العزيز عن عائشة أن رسول الله صلى الله عليه وسلم قال ثلاث أحلف عليهن لا يجعل الله من له سهم في الإسلام كمن لا سهم له وسهام الإسلام الصوم والصلاة والصدقة ولا يتولى الله عبدا فيوليه غيره يوم القيامة ولا يحب رجل قوما إلا جاء معهم والرابعة إن حلفت عليها رجوت أن لا آثم ما لا يستر الله على عبد في الدنيا إلا ستر الله عليه في الآخرة + فقال عمر بن عبد العزيز إذا سمعتم مثل هذا الحديث يحدث به عن عروة عن عائشة فاحفظوه
hadith|9015|أخبرنا أبو عبد الله الحافظ قال حدثني أبو سعيد المؤذن قال نا رنجويه بن محمد قال نا محمد بن عبد الوهاب قال سمعت علي بن عثام يقول قال رجل لابن واسع إني أحبك في الله قال فقال بن واسع اللهم إني أعوذ بك أن أحب لك وأنت لي ماقت
hadith|9016|أخبرنا أبو عبد الله الحافظ وأبو بكر أحمد بن الحسن وأبو عبد الله إسحاق بن محمد بن يوسف السوسي من أصل سماعه قالوا نا أبو العباس محمد بن يعقوب قال نا محمد بن إسحاق الصنعاني قال نا داود بن نوح أبو سليمان الأشقر قال نا إسماعيل بن عياش عن يحيى بن الحارث الدماري عن القاسم عن أبي أمامة عن النبي صلى الله عليه وسلم قال ما أحب عبد عبدا لله عز وجل إلا أكرم به
hadith|9017|وأخبرنا أبو القاسم عبد الرحمن بن محمد بن عبد الرحمن السراج قال أنا أبو محمد القاسم بن غانم بن حمويه الطويل قال نا أبو عبد الله البوشنجي قال نا عمرو بن الحصين قال نا بن علاثة قال نا يحيى بن الحارث عن القاسم بن عبد الرحمن عن أبي أمامة قال قال رسول الله صلى الله عليه وسلم ما أحب عبد عبدا في الله عز وجل إلا أكرمه الله وإن من إكرام الله إكرام ذي الشيبة المسلم والإمام المقسط وحامل القرآن غير الغالي فيه ولا الجافي ولا المستكثر به
hadith|9018|أخبرنا أبو عبد الله الحافظ قال نا أبو العباس محمد بن يعقوب قال نا إبراهيم بن مرزوق قال أنا أبو داود قال شعبة عن أبي يلج وهو يحيى بن أبي سليم قال سمعت عمرو بن ميمون يحدث عن أبي هريرة عن النبي صلى الله عليه وسلم قال من سره أن يجد حلاوة الإيمان فليحب المرء لا يحبه إلا لله عز وجل
hadith|9019|أخبرنا أبو نصر بن قتادة قال أنا أبو الحسن بن منصور قال نا محمد بن منصور قال نا محمد بن يحيى بن سليمان قال نا علي بن عاصم بن علي قال نا شعيب عن يحيى بن أبي سليم عن عمرو فذكره وقال طعم الإيمان
hadith|9020|وأخبرنا علي بن أحمد بن عبدان قال أنا أحمد بن عبيد قال نا بن أبي قماش قال نا عاصم قال نا شعبة عن أبي بلج قال ونا عمرو بن عون قال نا هشيم عن أبي بلج عن ميمون بن مهران عن أبي هريرة قال قال رسول الله صلى الله عليه وسلم من أراد أن يصيب حقيقة الإيمان فليحب المرء لا يحبه إلا في الله
hadith|9021|أخبرنا علي بن أحمد بن عبدان قال أنا أحمد بن عبيد قال نا جعفر بن أحمد بن عاصم الدمشقي قال نا هشام بن عمار قال نا صدقة وبن شعيب قالا نا يحيى بن الحارث عن القاسم بن عبد الرحمن عن أبي أمامة الباهلي عن النبي صلى الله عليه وسلم قال من أحب لله وأبغض لله وأعطى له ومنع له فقد استكمل الإيمان وإن من أقاربكم إلي أحاسنكم أخلاقا
hadith|9022|أخبرنا أبو زكريا بن أبي إسحاق قال أنا أبو سهل أحمد بن محمد بن عبد الله بن زياد القطان قال نا إسماعيل يعني بن الفضل البلخي قال نا المعافي يعني بن سليمان الحراني قال نا حكيم بن نافع عن الأعمش عن أبي صالح عن أبي هريرة قال قال رسول الله صلى الله عليه وسلم لو أن عبدين تحابا في الله عز وجل واحد في المشرق وآخر في المغرب لجمع الله بينهما يوم القيامة يقول هذا الذي كنت تحبه في
hadith|9023|أخبرنا أبو علي الروذباري قال أنا أبو أحمد القاسم بن أبي صالح الهمداني قال نا إبراهيم بن الحسين قال نا أبو توبة الحلبي قال نا مسلمة بن علي بن خلف الخشني عن عبيد الله عمر 1 عن نافع عن بن عمر قال رآني النبي صلى الله عليه وسلم وأنا ألتفت فقال ما لك تلتفت قلت آخيت رجلا قال إذا أحببت رجلا فاسأله عن اسمه واسم أبيه فإن كان غائبا حفظته وإن كان مريضا فعدته وإن مات شهدته + تفرد به مسلمة بن علي عن عبيد الله وليس بالقوي
hadith|9024|أخبرنا أبو عبد الله الحافظ وأحمد بن الحسن القاضي قالا نا أبو العباس محمد بن يعقوب قال أنا العباس بن مزيد قال أخبرني أبي قال أنا عثمان بن عطاء عن أبيه عن الحسن عن أبي رزين أنه قال له رسول الله صلى الله عليه وسلم ألا أدلك على ملاك هذا الأمر الذي تصيب به خير الدنيا والآخرة عليك بمجالس أهل الذكر وإذا خلوت فحرك لسانك ما استطعت بذكر الله وأحب في الله وأبغض في الله يا أبا رزين هل شعرت أن الرجل إذا خرج من بيته زائرا أخاه شيعه سبعون ألف ملك كلهم يصلون عليه ويقولون ربنا إنه وصل فيك فصله فإن استطعت أن تعمل جسدك في ذلك فافعل
hadith|9025|أخبرنا أبو سعد الماليني قال أنا أبو أحمد بن عدي قال نا عبد الله بن محمد بن سلم قال نا هاشم بن عمار قال نا سعيد بن يحيى قال نا أبو حمزة الثمالي عن أبي إسحاق السبعي عن الحارث عن علي قال رسول الله صلى الله عليه وسلم من زار أخاه في الله تبارك وتعالى لا لغيره التماس موعود الله وتنجزا ما عند الله وكل الله به سبعين ألف ملك ينادونه من خلفه حتى يرجع إلى بيته ألا طبت وطابت لك الجنة + تفرد به أبو حمزة عن أبي إسحاق
hadith|9026|أخبرنا أبو عبد الله الحافظ ومحمد بن موسى قالا نا أبو العباس هو الأصم قال نا يحيى بن أبي طالب قال أنا عبد الوهاب هو بن عطاء قال أنا أبو سنان عن عثمان بن أبي سودة قال سمعت أبا هريرة غير مرة ولا مرتين يقول من عاد مريضا أو زار أخا له في الله عز وجل ناداه مناد من السماء طبت وطاب ممشاك وتبوأت من الجنة منزلا + هذا موقوف
hadith|9027|وأخبرنا علي بن أحمد بن عبدان قال أنا أحمد بن عبيد قال نا تمتام نا عفان نا حماد بن سلمة عن أبي سنان عن عثمان بن أبي سودة عن أبي هريرة قال قال رسول الله صلى الله عليه وسلم إذا عاد الرجل أخاه أو زاره في الله قال الله طبت وطاب ممشاك وتبوأت منزلا في الجنة + وكذلك رواه يوسف بن يعقوب السدوسي عن أبي سنان
hadith|9028|أخبرنا الحاكم أبو عبد الله محمد بن عبد الله الحافظ قال أنا أبو علي الحسين بن علي الحافظ قراءة عليه قال أنا الفضل بن محمد بن عبد الله بن الحارث بن سليمان الأنطاكي قال نا عيسى 1 بن سليمان الحجازي قال نا خلف بن خليفة عن أبان المكتب عن أبي هاشم الرماني عن سعيد بن جبير عن بن عباس قال قال رسول الله صلى الله عليه وسلم ألا أخبركم برجالكم من أهل الجنة النبي في الجنة والصديق في الجنة والشهيد في الجنة والمولود في الجنة والرجل يزور أخاه في ناحية من نواحي المصر لا يزوره إلا لله في الجنة + قال أبو علي رواه غيره عن خلف بن خليفة ولم يذكر أبان المكتب إن كان حفظه فهو غريب جدا
hadith|9029|أخبرنا أبو الحسين بن بشران قال أنا إسماعيل بن محمد الصفار قال نا أحمد بن منصور الرمادي قال نا عبد الرزاق قال أنا معمر عن قتادة عن سلمان قال التاجر الصدوق مع السبعة في ظل عرش الله يوم القيامة والسبعة إمام عادل ورجل دعته امرأة ذات حسن وميسم إلى نفسها فقال إني أخاف الله رب العالمين ورجل ذكر الله عنده ففاضت عيناه ورجل قلبه معلق بالمساجد من حبه إياها ورجل تصدق بصدقة فكادت يمينه تخفي من شماله ورجل لقي أخاه فقال إني أحبك في الله وقال الآخر وأنا أحبك في الله حتى تصادرا على ذلك ورجل نشأ في الخير من هو غلام
hadith|9030|أخبرنا أبو الحسين بن بشران قال أنا إسماعيل بن محمد الصفار قال أنا أحمد بن منصور قال نا عبد الرزاق قال أنا معمر عن أبي إسحاق عن أبي الأحوص عن بن مسعود قال إن من الإيمان أن يحب الرجل أخاه لا يحبه إلا لله وفيه
hadith|9031|أخبرنا أبو عبد الله الحافظ قال أخبرني أبو عبد الله محمد بن يعقوب قال نا محمد بن عبد الوهاب قال أنا يعلى بن عبيد قال حدثني فضيل بن غزوان وأخبرنا أبو عبد الله الحافظ قال نا أبو عبد الله محمد بن يعقوب إملاء قال نا عبد الله بن هلال بن الفرات قال نا أحمد بن أبي الحواري قال نا حفص بن غياث عن فضيل بن غزوان الضبي قال لقيني أبو إسحاق الشبيعي فقال لي إني والله لأحبك ولولا الحياء لقبلتك فقال أبو إسحاق نا أبو الأحوص عن عبد الله أن هذه الآية نزلت في المتحابين في الله لو أنفقت ما في الأرض جميعا ما ألفت بين قلوبهم ولكن الله ألف بينهم إنه عزيز حكيم + لفظ حديث حفص تابعهما محمد بن فضيل عن أبيه
hadith|9032|أخبرنا أبو علي الروذباري وأبو الحسين بن بشران قالا أنا إسماعيل بن محمد الصفار قال نا سعدان بن نصر قال نا سفيان عن إبراهيم بن ميسرة عن طاووس قال سمعت بن عباس يقول إن الرحم يقطع وإن النعم تكفر ولم نر مثل تقارب القلوب
hadith|9033|ورويناه عن بن طاووس عن أبيه وزاد ثم قرأ بن عباس لو أنفقت ما في الأرض جميعا ما ألفت بين قلوبهم ولكن الله ألف بينهم
hadith|9034|أخبرنا أبو عبد الله الحافظ قال نا علي بن بشر الصوفي القزويني في منزلنا قال نا أبو عبد الله محمد بن الحسن القنديلي الاسترابادي قال نا أبو إسحاق إبراهيم بن محمد بن النعمان الصفار قال نا ميمون بن الحكم قال نا بكر بن الشرود عن محمد بن مسلم الطائفي عن إبراهيم بن ميسرة عن طاووس عن بن عباس قال قرابة الرحم تقطع ومنة النعم تكفر ولم نر مثل تقارب القلوب يقول الله عز وجل لو أنفقت ما في الأرض جميعا ما ألفت بين قلوبهم وذلك موجود في الشعر % إذا أتت ذوي القربى عليك لرحمة % فغشك واستغنى فليس بذي رحم % % ولكن ذا القربى الذي إن دعوته % أجاب ومن يرمي العدو الذي ترمي ومن ذلك أيضا قول القائل % ولقد صحبت الناس ثم سبرتهم % وبلوت ما وصلوا من الأسباب + % % % فإذا القرابة لا تقرب قاطعا % وإذا المودة أقرب الأنساب % هكذا وجدته موصولا بقول بن عباس ولا أدري قوله وذلك موجود في الشعر من قوله أو من قول من مر من هؤلاء الرواة
hadith|9035|أخبرنا أبو عبد الله الحافظ قال أنا علي بن محمد الحبيبي قال حدثني أبو عبد الله محمد بن الحسين الكوكبي قال حدثني إلياس بن سلمة المؤدب قال كتب أبو رفاعة أحمد بن محمد بن النضر إلى جعفر بن يحيى البرمكي أما بعد فإن الكرم أعطف من الرحم وهو أقرب عند الكريم وسيلة من القرابة القريبة ألا ترى إن الكريم كيف يجدي عليك وإن كان بعيدا واللئيم ما ينفعك وإن كان قريبا فالكرم سبب من الكرام موصول يرتعون إليه ويتعاطفون عليه وهو أقوى الأسباب وأقرب الأنساب وإنما عظمت القرابة لعطفها فأقرب الناس إليك أعطفهم عليك ولذلك أقول % ولقد صحبت الناس ثم سبرتهم % وبلوت ما وصلوا من الأسباب % % فإذا القرابة لا تقرب قاطعا % وإذا المودة أقرب الأنساب %
hadith|9036|أخبرنا أبو عبد الله الحافظ قال أنشدني عبد الله بن أحمد الشيباني قال أنشدنا أبو علي الحسين بن حمدون وكان أديبا بليغا % إني بلوت الناس ثم سبرتهم % وعرفت ما فعلوا من الأسباب % % فإذا القرابة لا تقرب قاطعا % وإذا المودة أقرب الأنساب %
hadith|9037|أخبرنا أبو عبد الله الحافظ نا عبد الله بن جعفر الفارسي قال نا يعقوب بن سفيان وأخبرنا أبو عبد الله الحافظ قال نا أبو القاسم عبد الرحمن بن الحسن الأسدي القاضي قالا نا إبراهيم بن الحسين قال نا سعيد بن أبي مريم قال نا يحيى بن أيوب قال حدثني يحيى بن سعيد عن عمرة عن عائشة زوج النبي صلى الله عليه وسلم قالت قال رسول الله صلى الله عليه وسلم الأرواح جنود مجندة فما تعارف منها ائتلف وما تناكر منها اختلف + أخرجه البخاري في الصحيح فقال وقال يحيى بن أيوب وأخرجه مسلم من حديث أبي هريرة
hadith|9038|أخبرنا أبو زكريا بن أبي إسحاق قال أنا أبو عبد الله بن يعقوب قال نا محمد بن عبد الوهاب قال أنا جعفر بن عون قال أنا إبراهيم الهجري عن أبي الأحوص عن عبد الله بن مسعود قال الأرواح جنود مجندة تلاقي فتشام كما تشام الخيل فما تعارف منها ائتلف وما تناكر منها اختلف ولو أن مؤمنا جاء إلى مسجد فيه مائة ليس فيهم إلا مؤمن واحد جاء حتى يجلس مع المؤمن ولو أن منافقا جاء إلى مسجد فيه مائة ليس فيهم إلا منافق واحد جاء حتى يجلس معه أو إليه
hadith|9039|أخبرنا أبو عبد الله الحافظ قال أنا عبد الله بن جعفر الفارسي نا يعقوب بن سفيان نا أبو صالح حدثني الليث عن يحيى بن سعيد عن عمرة بنت عبد الرحمن أن امرأة من أهل مكة كانت تضحك النساء وكانت تدخل على عائشة أم المؤمنين وكانت أخرى بالمدينة وإن المكية قدمت فلقيت المدنية فوافقتها فدخلتا على عائشة جميعا فلما رأت من اتفاقهما قالت للمكية أكنت تعرفين هذه قالت لا ولكنا التقينا فتعارفنا فقالت عائشة صدقت سمعت رسول الله صلى الله عليه وسلم يقول الأرواح جنود مجندة فما تعارف منها ائتلف وما تناكر منها اختلف
hadith|9040|أخبرنا أبو علي الروذباري أنا إسماعيل بن محمد الصفار نا محمد بن إسحاق أبو بكر نا سعيد بن عامر نا جدي أسماء بن عتبة 1 سمعت الحسن يقول رب أخ لك لم تلده أمك
hadith|9041|أخبرنا أبو طاهر الفقيه أنا أبو حامد بن بلال قال نا أبو محمد موسى بن إسحاق الكناني بالكوفة سنة تسع وخمسين ومائتين قال نا علي بن عثام بن علي العامري عن سفيان عن عون بن عبد الله بن عتبة عن بن مسعود قال لا نسأل الرجل عما في قلبه لك ولكن انظر ما في قلبك له فإن لك في قلبه مثل ذلك
hadith|9042|أخبرنا أبو الحسين بن بشران قال أنا عثمان بن أحمد بن السماك قال نا الحسن بن عمرو قال سمعت بشر بن الحارث يقول قال رجل ليحيى بن كثير إني أحبك قال قد علمت ذاك من نفسي
hadith|9043|قال وسمعت بشرا يقول قال بن عباس فلان يحبني قالوا وكيف ذاك قال إني أحبه
hadith|9044|أخبرنا أبو نصر منصور بن الحسين المقرئ قال نا أبو العباس الأصم قال نا عبد الله بن الفرات قال نا أحمد بن أبي الحواري قال نا الوليد بن عتبة قال كتب إلى أخ أما بعد يا أخي إن علي بن أبي طالب رضي الله عنه قال كل إخاء منقطع إلا إذا كان على غير الطمع
hadith|9045|أخبرنا أبو زكريا قال أنا أبو عبد الله بن يعقوب قال أنا محمد بن عبد الوهاب قال أنا جعفر بن عون قال أنا المعلى بن عرفان قال سمعت أبا وائل يقول من تحاب في الله لم يتفرق حبه ومن تحاب للدنيا فيوشك أن يغرق حبه فإنما هو متعة
hadith|9047|وقد روي فيه ما وجدت في كتابي عن أبي عبد الله الحافظ أن حمزة بن العباس أخبرهم قال أنا عبدالكريم بن الهيثم قال نا أبو اليمان قال نا أبو بكر بن أبي مريم عن حبيب بن عبيد عن معاذ بن جبل عن النبي صلى الله عليه وسلم قال يكون في آخر الزمان قوم إخوان العلانية أعداء السريرة قيل يا رسول الله وكيف يكون ذلك قال أن يرغب بعضهم إلى بعض ويرهب بعضهم من بعض
hadith|9047|أخبرنا أبو عبد الله الحافظ قال سمعت أبا علي الحسين بن أحمد الكرابيسي يقول سمعت أبا العباس الدغولي يقول سمعت محمد بن أبي حاتم المظفري يقول اتق شر من يصحبك لنائلة فإنها إذا انقطعت عنه لم يعذر ولم يبال ما قال وما قيل فيه
hadith|9048|أخبرنا علي بن محمد بن بشران ببغداد قال أنا إسماعيل بن محمد الصفار نا أحمد بن منصور نا عبد الرزاق أنا معمر عن قتادة قال قال رسول الله صلى الله عليه وسلم ما تحاب اثنان في الله إلا كان أعظمهما أجرا أشدهما حبا لصاحبه + هذا مرسل وروي موصولا كما
hadith|9049|أخبرنا أبو عبد الله الحافظ قال أخبرني أبو حامد أحمد بن محمد بن الحسين هو الخسروجردي قال نا أبو سليمان داود بن الحسين قال نا سعد بن يزيد الفراء قال نا المبارك بن فضالة وأخبرنا علي بن أحمد بن عبدان نا أحمد بن عبيد الصفار نا يحيى بن البختري الحنائي نا هدبة نا مبارك بن فضالة عن ثابت عن أنس أن رسول الله صلى الله عليه وسلم قال ما تحاب رجلان في الله إلا كان أفضلهما أشدهما حبا لصاحبه + وفي رواية الفراء قال قال رسول الله صلى الله عليه وسلم ما تحاب اثنان في الله فذكره تابعه عبد الله فذكره تابعه عبد الله بن الزبير الباهلي عن ثابت عن أنس
hadith|9050|أخبرنا أبو الحسين بن الفضل القطان ببغداد أنا عبد الله بن جعفر النحوي نا يعقوب بن سفيان نا عمرو بن عاصم نا سليمان بن المغيرة عن غيلان بن جرير قال قال مطرف ما تحاب اثنان في الله كان أشدهما حبا لصاحبه أفضلهما قال فذكرت ذلك للحسن فقال صدق مطرف قال وقال غيلان قال مطرف أنا لمذعور أشد حبا وهو أفضل مني فكيف هذا قال فلما أمر بالرهط أن يخرجوا إلى الشام أمر بمذعور فيهم قال فلقيني فأخذ بلجام دابتي فجعلت كلما أردت أن أنصرف حبسني قلت إن المكان بعيد فجعل يحبسني فقلت أنشدك الله إلا تركتني فيم تحبسني فلما ناشدته قال كلمة يخفيها مني جهده اللهم فيك قال فلما أصبحت قيل لي هل شعرت أنه خرج بأخيك قال فعرفت أنه أشد حبا لي منه
hadith|9051|أخبرنا أبو الحسن محمد بن الحسين العلوي قال أنا أبو نصر أحمد بن محمد بن قريش المروزي الخبازي 1 قال نا أبو الموجه محمد بن عمرو الفزاري قال نا عبدان قال أنا معاذ بن خالد بن شقيق قال نا صالح المري عن ثابت عن أنس بن مالك قال قال رسول الله صلى الله عليه وسلم إن الله سبحانه يقول إني لأهم بأهل الأرض عذابا فإذا نظرت إلى عمار بيوتي والمتحابين في والمستغفرين بالأسحار صرفت عنهم
hadith|9052|أخبرنا أبو الحسين بن بشران أنا إسماعيل بن محمد الصفار أنا أحمد بن منصور نا عبد الرزاق أنا معمر عن رجل من قريش رفع الحديث قال يقول الله تبارك وتعالى إن أحب عبادي إلي الذين يتحابون في والذين يعمرون مساجدي والذين يستغفرون بالأسحار أولئك الذين إذا أردت بخلقي عذابا ذكرتهم فصرفت عذابي عن خلقي
hadith|9053|وبإسناده قال أنا معمر عن رجل من قريش قال قيل من أهلك الذين هم أهلك يا رب قال هم المتحابون في الذين إذا ذكرت ذكروا بي وإذا ذكروا ذكرت بهم هم الذين ينيبون إلى طعاتي كما تنيب النسور إلى وكرها هم الذين إذا استحلت محارمي غضبوا كما يغضب النمر إذا حرب
hadith|9054|أخبرنا أبو الحسين بن بشران قال أنا أبو جعفر محمد بن عمرو الرزاز قال نا يحيى بن جعفر قال أنا زيد بن حباب قال أنا أشعث بن براز قال أنا علي بن زيد عن سعيد بن المسيب قال قال رسول الله صلى الله عليه وسلم رأس العقل بعد الإيمان بالله التودد إلى الناس وما يستغني رجل عن مشورة وإن أهل المعروف في الدنيا هم أهل المعروف في الآخرة وإن أهل المنكر في الدنيا هم أهل المنكر في الآخرة + هذا هو المحفوظ مرسل
hadith|9055|وأخبرنا أبو زكريا بن أبي إسحاق قال أنا أبو محمد عبد الله بن إسحاق الخرساني قال نا إبراهيم بن الهيثم البلدي قال حدثني سعيد بن عبد الله عن أبي عبد الرحمن الفراء قال نا يوسف بن محمد العصفري قال نا سفيان عن علي بن زيد عن سعيد بن المسيب عن أبي هريرة قال قال رسول الله صلى الله عليه وسلم رأس العقل بعد الإيمان بالله التودد إلى الناس + في هذا الإسناد ضعف
hadith|9056|أخبرنا أبو عبد الله الحافظ قال نا أبو العباس هو الأصم قال نا محمد بن إسحاق قال نا علي بن عبد الحميد المعنى قال نا عمران بن خالد الخزاعي ح وأخبرنا أبو عبد الرحمن السلمي وأبو نصر بن قتادة قالا أنا أبو عمرو بن مطر قال نا أحمد بن الحسين بن نصر الحذاء قال نا محمد بن عبد الملك نا عمران عن ثابت عن أنس قال كان رسول الله صلى الله عليه وسلم يؤاخي بين الرجلين فتطول الليلة عليهما حتى يلقى أحدهما صاحبه فيلقاه بود ولطف فيقول كيف كنت بعدي قال وأما العامة فلم تكن تأتي على الرجل ثلاث لا يعلم علم أخيه المسلم وفي رواية أبي عبد الله قال لما آخى النبي صلى الله عليه وسلم بين الناس كانت تطول الليل على أحدهم حتى يصبح فيلتقيان بود ولطف فأما العامة فلم يكن تمضي على أحدهم ثالثة لا يعلم علم أخيه المسلم
hadith|9057|أخبرنا أبو طاهر الفقيه قال أنا أبو بكر محمد بن الحسين القطان قال نا إبراهيم بن الحارث البغدادي قال نا يحيى بن أبي بكير 1 قال نا حماد بن سلمة قال أنا ثابت البناني عن الدارمي قال كان الرجلان من أصحاب النبي صلى الله عليه وسلم إذا التقيا وأرادا أن يتفرقا قرأ أحدهم سورة والعصر إن الإنسان لفي خسر ثم سلم أحدهما على الآخر أو على صاحبه ثم تفرقا + ورواه غيره عن حماد عن ثابت عن عتبة بن الغافر قال كان الرجلان فذكره
hadith|9058|أخبرنا أبو محمد السكري قال أنا إسماعيل الصفار نا عباس الترفي نا أبو عبد الرحمن المقرئ قال نا حيوة أنا أبو محمد شرحبيل بن شريك المغافري أنه سمع أبا عبد الرحمن الحبلي يقول حدثني الصنابحي أنه سمع أبا بكر الصديق رضي الله عنه يقول إن دعوة الأخ للأخ في الله مستجابة
hadith|9059|أخبرنا أبو بكر فورك أنا عبد الله بن جعفر نا يونس بن حبيب نا أبو داود نا شعبة عن عاصم بن عبيد الله قال سمعت سالم بن عبد الله بن عمر يحدث عن أبيه أن عمر بن الخطاب رضي الله عنه استأذن النبي صلى الله عليه وسلم في عمرة فأذن له وقال يا أخي أشركنا في دعائك ولا تنسانا من دعائك + كذا وجدته في كتابي مقيدا يا أخي
hadith|9060|حدثنا أبو منصور الظفر بن محمد العلوي إملاء وأبو الحسين بن الفضل القطان قرأه قالا أنا علي بن عبد الرحمن بن ماتي بالكوفة قال نا بن أبي غرزة أنا قبيصة نا سفيان عن شعبة عن أبي إياس عن أبي الدرداء قال إني لأدعو لثلاثين من إخواني وأنا ساجد أسميهم بأسمائهم وأسماء آبائهم
hadith|9061|أخبرنا أبو عبد الله الحافظ نا أبو العباس محمد بن يعقوب نا محمد بن إسحاق الصنعاني أنا يعلى بن عبيد نا عبد الملك بن أبي سليمان عن أبي الزبير عن صفوان بن عبد الله بن صفوان وكان تحته الدرداء قال أتيت الشام فأتيت أبا الدرداء فلم ألقه ولقيت أم الدرداء فقالت تريد الحج العام قال قلت نعم قالت فادع لنا بخير فإن النبي صلى الله عليه وسلم يقول دعاء المسلم يستجاب لأخيه بظهر الغيب عند رأسه ملك موكل ما دعا لأخيه بخير إلا قال آمين ولك بمثل قال فخرجت إلى السوق فلقيت أبا الدرداء فقال لي مثل ذلك + أخرجه مسلم في الصحيح
hadith|9062|أخبرنا أبو عبد الله الحافظ ومحمد بن موسى قالا نا أبو العباس هو الأصم نا عبد الملك بن عبد الحميد نا روح نا بسطام بن مسلم قال سمعت معاوية بن مرة قال بسطام فلا أدري عن أبيه أو عن لقمان أنه قال يا بني جالس الصالحين من عباد الله فإنك ستصيب بمجالستهم خيرا ولعله أن يكون في آخر ذلك أن تنزل الرحمة عليهم وأنت فيهم فتصيبك معهم
hadith|9063|أخبرنا أبو عبد الله الحافظ ومحمد بن موسى قالا نا أبو العباس هو الأصم أنا العباس بن الوليد أخبرني أبي قال سمعت بن جابر قال حدثني بعض أشياخنا قال قال أبو الدرداء لن تزالوا بخير ما أحببتم خياركم وما قيل فيكم بالحق فعرفتموه فإن عارف الحق كعامله
hadith|9064|أخبرنا أبو عبد الله الحافظ أنا أبو العباس بن يعقوب نا العباس بن محمد نا حلف بن تميم قال سمعت سفيان الثوري يقول وجدت قلبي يصلح بمكة والمدينة مع قوم غرباء أصحاب بيوت وعباء 1
hadith|9065|أخبرنا أبو الحسن علي بن محمد المقرئ قالا أنا الحسن بن محمد بن إسحاق حدثني خالي يعني أبو عوانة نا عمران بن بكار نا أبو اليمان أنا عباس بن يزيد قال قال وهب بن منبه استكثر من الإخوان ما استطعت فإنك إن استغنيت عنهم لم يضروك وإن احتجت إليهم نفعوك
hadith|9066|قال وحدثني خالي قال نا أبو خطاب نا خالد بن خراش نا علي بن عبد الله سمعت عبدالكريم سمعت الحسن يقول لا تشترين صداقة ألف بعداوة واحد
hadith|9067|أنشدنا أبو زكريا بن أبي إسحاق أنشدني القاضي أبو بكر بن كامل أنشدني عبيد الله بن إبراهيم النحوي للخليل بن أحمد % تكثر من الإخوان ما استطعت % إنهم بطون إذا استنجدتهم فظهور % % وما بكثير ألف خل لعاقل % وإن عدوا واحدا لكثير %
hadith|9068|أخبرنا أبو بكر بن القاضي قال نا أبو بكر محمد بن الحسين بن يعقوب بن مقسم المقرئ ببغداد نا أبو العباس أحمد بن يحيى ثعلب نا عبد الله بن شبيب قال كان يقال لقاء الأحبة مسلاة للهم
hadith|9069|وأنشدنا % وما بقيت من اللذات إلا % محادثة الرجال ذوي العقول % % وقد كنا نعدهم قليلا % فقد صاروا أعز من القليل
hadith|9070|أخبرنا أبو زكريا بن أبي إسحاق نا أبو عبد الله الزبير بن عبد الواحد نا أحمد بن علي المدائني نا إسحاق بن إبراهيم الكباش حدثني أسد بن سعيد سمعت الشافعي رحمه الله يقول ليس سرور يعدل صحبة الإخوان ولا غم يعدل فراقهم
hadith|9071|أخبرنا أبو عبد الله الحافظ قال سمعت أبا منصور العتكي يقول سمعت أبا عثمان سعيد بن إسماعيل الواعظ يقول ثلاثة أشياء من علامة الحب في الله عز وجل بذل الشيء لصفاء المودة وتعطيل الإرادة لإرادة الأخ للسخاء بالنفس والمشاركة له في محبوبه ومكروهه لصحة العقد + وقد روينا هذا الكلام عن ذي النون
hadith|9072|أخبرنا أبو الحسن محمد بن محمد بن أبي المعروف الفقيه قال أنا أبو سهل الإسفرائيني أنا أبو جعفر أحمد بن الحسين بن نصر الحذاء نا علي بن المديني أنا جرير بن عبد الحميد عن ليث بن أبي سليم 1 عن محمد بن طارق عن مجاهد قال صاحبت بن عمر من مكة إلى المدينة فما سمعته يحدث عن رسول الله صلى الله عليه وسلم إلا هذا الحديث إن مثل المؤمن كمثل النخلة إن صاحبته نفعك وإن شاورته نفعك وإن جالسته نفعك وكل شأنه منافع وكذلك النخلة كل شأنها منافع
